
 epoch:28, val_loss:1.1536, acc:0.6980, acc_cls:0.0890, mean_iu:0.0614, fwavacc:0.5132
 epoch:29, train_loss:1.1002, acc:0.6975, acc_cls:0.0957, mean_iu:0.0690, fwavacc:0.5167
 epoch:29, val_loss:1.2886, acc:0.6502, acc_cls:0.1294, mean_iu:0.0753, fwavacc:0.5111
 epoch:30, train_loss:1.0962, acc:0.6986, acc_cls:0.0973, mean_iu:0.0707, fwavacc:0.5192
 epoch:30, val_loss:1.1135, acc:0.6979, acc_cls:0.1084, mean_iu:0.0746, fwavacc:0.5184
 epoch:31, train_loss:1.0902, acc:0.7010, acc_cls:0.1040, mean_iu:0.0750, fwavacc:0.5215
 epoch:31, val_loss:1.1382, acc:0.6963, acc_cls:0.1213, mean_iu:0.0778, fwavacc:0.5259
 epoch:32, train_loss:1.0751, acc:0.7042, acc_cls:0.1047, mean_iu:0.0755, fwavacc:0.5274
 epoch:32, val_loss:1.2038, acc:0.6976, acc_cls:0.0799, mean_iu:0.0609, fwavacc:0.4963
 epoch:33, train_loss:1.0765, acc:0.7031, acc_cls:0.1063, mean_iu:0.0771, fwavacc:0.5257
 epoch:33, val_loss:1.0889, acc:0.6987, acc_cls:0.0919, mean_iu:0.0695, fwavacc:0.5069
 epoch:34, train_loss:1.0616, acc:0.7039, acc_cls:0.1067, mean_iu:0.0776, fwavacc:0.5269
 epoch:34, val_loss:1.1392, acc:0.7024, acc_cls:0.1036, mean_iu:0.0745, fwavacc:0.5147
 epoch:35, train_loss:1.0604, acc:0.7055, acc_cls:0.1119, mean_iu:0.0808, fwavacc:0.5311
 epoch:35, val_loss:1.1681, acc:0.6828, acc_cls:0.1059, mean_iu:0.0640, fwavacc:0.5232
 epoch:36, train_loss:1.0619, acc:0.7055, acc_cls:0.1097, mean_iu:0.0779, fwavacc:0.5320
 epoch:36, val_loss:1.0976, acc:0.7006, acc_cls:0.1219, mean_iu:0.0855, fwavacc:0.5228
 epoch:37, train_loss:1.0398, acc:0.7096, acc_cls:0.1107, mean_iu:0.0806, fwavacc:0.5342
 epoch:37, val_loss:1.0899, acc:0.7023, acc_cls:0.1155, mean_iu:0.0788, fwavacc:0.5268
 epoch:38, train_loss:1.0319, acc:0.7117, acc_cls:0.1181, mean_iu:0.0837, fwavacc:0.5408
 epoch:38, val_loss:1.1072, acc:0.7023, acc_cls:0.1255, mean_iu:0.0826, fwavacc:0.5291
 epoch:39, train_loss:1.0411, acc:0.7079, acc_cls:0.1138, mean_iu:0.0809, fwavacc:0.5373
 epoch:39, val_loss:1.1040, acc:0.6970, acc_cls:0.1244, mean_iu:0.0784, fwavacc:0.5439
 epoch:40, train_loss:1.0327, acc:0.7121, acc_cls:0.1256, mean_iu:0.0897, fwavacc:0.5423
 epoch:40, val_loss:1.1395, acc:0.6904, acc_cls:0.1355, mean_iu:0.0784, fwavacc:0.5281
 epoch:41, train_loss:1.0183, acc:0.7140, acc_cls:0.1250, mean_iu:0.0887, fwavacc:0.5459
 epoch:41, val_loss:1.1033, acc:0.6951, acc_cls:0.1197, mean_iu:0.0809, fwavacc:0.5299
 epoch:42, train_loss:1.0113, acc:0.7144, acc_cls:0.1275, mean_iu:0.0912, fwavacc:0.5447
 epoch:42, val_loss:1.0592, acc:0.7103, acc_cls:0.1442, mean_iu:0.0966, fwavacc:0.5447
 epoch:43, train_loss:1.0122, acc:0.7160, acc_cls:0.1306, mean_iu:0.0925, fwavacc:0.5495
 epoch:43, val_loss:1.0407, acc:0.7135, acc_cls:0.1405, mean_iu:0.0943, fwavacc:0.5527
 epoch:44, train_loss:1.0128, acc:0.7151, acc_cls:0.1324, mean_iu:0.0933, fwavacc:0.5470
 epoch:44, val_loss:1.1163, acc:0.7001, acc_cls:0.1444, mean_iu:0.0917, fwavacc:0.5470
 epoch:45, train_loss:1.0203, acc:0.7155, acc_cls:0.1314, mean_iu:0.0934, fwavacc:0.5482
 epoch:45, val_loss:1.1935, acc:0.6851, acc_cls:0.1262, mean_iu:0.0735, fwavacc:0.5358
 epoch:46, train_loss:0.9974, acc:0.7194, acc_cls:0.1354, mean_iu:0.0965, fwavacc:0.5538
 epoch:46, val_loss:1.1406, acc:0.6721, acc_cls:0.1409, mean_iu:0.0769, fwavacc:0.5402
 epoch:47, train_loss:0.9922, acc:0.7185, acc_cls:0.1334, mean_iu:0.0943, fwavacc:0.5541
 epoch:47, val_loss:1.0529, acc:0.7150, acc_cls:0.1355, mean_iu:0.0923, fwavacc:0.5422
 epoch:48, train_loss:0.9929, acc:0.7188, acc_cls:0.1410, mean_iu:0.1002, fwavacc:0.5549
 epoch:48, val_loss:1.0711, acc:0.7018, acc_cls:0.1410, mean_iu:0.0916, fwavacc:0.5429
 epoch:49, train_loss:0.9751, acc:0.7197, acc_cls:0.1376, mean_iu:0.0981, fwavacc:0.5577
 epoch:49, val_loss:1.0431, acc:0.7013, acc_cls:0.1600, mean_iu:0.0980, fwavacc:0.5527
 epoch:50, train_loss:0.9803, acc:0.7188, acc_cls:0.1386, mean_iu:0.0979, fwavacc:0.5553
 epoch:50, val_loss:1.0972, acc:0.7067, acc_cls:0.1229, mean_iu:0.0795, fwavacc:0.5435
 epoch:51, train_loss:0.9771, acc:0.7207, acc_cls:0.1440, mean_iu:0.1026, fwavacc:0.5595
 epoch:51, val_loss:1.0472, acc:0.7076, acc_cls:0.1797, mean_iu:0.1144, fwavacc:0.5672
 epoch:52, train_loss:0.9636, acc:0.7239, acc_cls:0.1512, mean_iu:0.1074, fwavacc:0.5634
 epoch:52, val_loss:1.0444, acc:0.7095, acc_cls:0.1276, mean_iu:0.0858, fwavacc:0.5358
 epoch:53, train_loss:0.9499, acc:0.7248, acc_cls:0.1503, mean_iu:0.1067, fwavacc:0.5659
 epoch:53, val_loss:1.0525, acc:0.7116, acc_cls:0.1394, mean_iu:0.0964, fwavacc:0.5466
 epoch:54, train_loss:0.9521, acc:0.7244, acc_cls:0.1503, mean_iu:0.1079, fwavacc:0.5639
 epoch:54, val_loss:1.0577, acc:0.7108, acc_cls:0.1384, mean_iu:0.0917, fwavacc:0.5503
 epoch:55, train_loss:0.9606, acc:0.7235, acc_cls:0.1526, mean_iu:0.1091, fwavacc:0.5649
 epoch:55, val_loss:1.0354, acc:0.7129, acc_cls:0.1318, mean_iu:0.0913, fwavacc:0.5465
 epoch:56, train_loss:0.9410, acc:0.7299, acc_cls:0.1620, mean_iu:0.1156, fwavacc:0.5726
 epoch:56, val_loss:1.0336, acc:0.7092, acc_cls:0.1628, mean_iu:0.1073, fwavacc:0.5626
 epoch:57, train_loss:0.9309, acc:0.7334, acc_cls:0.1630, mean_iu:0.1174, fwavacc:0.5769
